City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,20.95,48,19,3.69,AU,1730168682
1,adamstown,-25.066,-130.1015,21.24,74,9,3.56,PN,1730168682
2,atafu village,-8.5421,-172.5159,28.2,73,94,2.8,TK,1730168682
3,cole harbour,44.6724,-63.4751,1.66,76,6,0.89,CA,1730168682
4,howard springs,-12.497,131.047,34.95,59,28,3.99,AU,1730168683
5,puerto ayora,-0.7393,-90.3518,20.01,85,48,3.92,EC,1730168683
6,puerto natales,-51.7236,-72.4875,8.53,82,96,5.33,CL,1730168683
7,bethel,41.3712,-73.414,8.52,84,0,1.54,US,1730168683
8,nizhnesortymskiy,62.4397,71.7603,-0.78,86,100,3.81,RU,1730168683
9,viana do castelo,41.6932,-8.8329,15.31,76,0,2.72,PT,1730168683
10,grytviken,-54.2811,-36.5092,-0.13,97,100,2.66,GS,1730168683
11,udachny,66.4167,112.4,-26.16,100,97,1.91,RU,1730168683
12,qaqortoq,60.7167,-46.0333,0.16,98,100,1.85,GL,1730168683
13,edinburgh of the seven seas,-37.0676,-12.3116,13.06,70,0,9.64,SH,1730168684
14,cabanas,22.9758,-82.9219,24.68,77,100,4.14,CU,1730168684
15,albany,42.6001,-73.9662,3.52,68,22,0.2,US,1730168684
16,west island,-12.1568,96.8225,28.99,74,75,4.12,CC,1730168684
17,waitangi,-43.9535,-176.5597,14.9,83,3,1.79,NZ,1730168684
18,rabo de peixe,37.8,-25.5833,17.77,99,40,3.09,PT,1730168684
19,peterhead,57.5058,-1.7981,10.92,92,100,3.53,GB,1730168684
20,luderitz,-26.6481,15.1594,14.99,78,0,6.15,NA,1730168684
21,kingston,17.997,-76.7936,29.53,84,20,3.6,JM,1730168684
22,port-aux-francais,-49.35,70.2167,3.01,88,99,9.68,TF,1730168684
23,hami,42.8,93.45,12.55,48,100,5.24,CN,1730168684
24,ribeira grande,38.5167,-28.7,18.76,67,36,1.79,PT,1730168685
25,ushuaia,-54.8,-68.3,6.81,65,0,2.06,AR,1730168685
26,uturoa,-16.7333,-151.4333,25.38,76,39,9.38,PF,1730168685
27,iqaluit,63.7506,-68.5145,-6.15,85,100,4.63,CA,1730168685
28,tamayo,18.3947,-71.2029,25.81,87,100,0.71,DO,1730168685
29,mabaruma,8.2,-59.7833,23.85,91,100,0.76,GY,1730168685
30,bilibino,68.0546,166.4372,-19.56,94,89,0.94,RU,1730168685
31,vorgashor,67.5833,63.95,-2.43,96,100,4.88,RU,1730168685
32,port augusta,-32.5,137.7667,26.62,22,0,2.93,AU,1730168685
33,kachug,53.9606,105.8817,2.14,96,100,0.05,RU,1730168685
34,blackmans bay,-43.0167,147.3167,20.29,49,11,1.84,AU,1730168685
35,invercargill,-46.4,168.35,12.79,63,31,4.47,NZ,1730168421
36,port elizabeth,-33.918,25.5701,17.16,99,75,9.77,ZA,1730168686
37,laguna,38.421,-121.4238,16.65,60,75,4.12,US,1730168686
38,yarovoye,52.9273,78.58,1.23,96,100,10.19,RU,1730168686
39,bezenchuk,52.982,49.4333,2.07,87,100,1.93,RU,1730168686
40,kavaratti,10.5669,72.642,27.42,73,86,2.61,IN,1730168686
41,waimea,20.0231,-155.6717,22.48,85,100,2.68,US,1730168686
42,inhambane,-23.865,35.3833,25.08,89,100,3.29,MZ,1730168686
43,hermanus,-34.4187,19.2345,16.0,88,32,2.92,ZA,1730168686
44,gurupi,-11.7292,-49.0686,26.14,64,15,2.91,BR,1730168686
45,brookings,44.3114,-96.7984,15.25,68,0,0.0,US,1730168686
46,tralee,52.2704,-9.7026,11.96,96,100,1.6,IE,1730168686
47,murray bridge,-35.1167,139.2667,22.03,29,0,3.26,AU,1730168687
48,roanoke rapids,36.4615,-77.6542,5.95,100,0,0.0,US,1730168687
49,shiguai,40.7058,110.2856,9.02,42,3,1.68,CN,1730168687
50,yellowknife,62.456,-114.3525,-3.71,86,100,5.66,CA,1730168687
51,minas de marcona,-15.2119,-75.1103,13.49,82,16,3.69,PE,1730168687
52,papao,-17.75,-149.55,27.82,76,50,8.7,PF,1730168687
53,yerofey pavlovich,53.9667,121.9667,-0.82,70,25,0.91,RU,1730168687
54,khor,47.8861,134.9464,5.02,61,100,4.95,RU,1730168687
55,tazacorte,28.629,-17.9293,19.54,79,0,5.14,ES,1730168687
56,happy valley-goose bay,53.3168,-60.3315,0.17,74,75,5.14,CA,1730168687
57,putian,25.4394,119.0103,23.45,54,72,3.05,CN,1730168688
58,olonkinbyen,70.9221,-8.7187,-3.8,76,100,7.54,SJ,1730168688
59,pirot,43.1531,22.5861,10.6,93,10,0.91,RS,1730168688
60,longyearbyen,78.2186,15.6401,-2.09,93,75,0.0,SJ,1730168634
61,paradip garh,20.3167,86.6167,26.41,87,41,2.37,IN,1730168688
62,suva,-18.1416,178.4415,27.71,69,40,5.14,FJ,1730168688
63,jamestown,42.097,-79.2353,9.8,67,0,2.57,US,1730168688
64,zouerate,22.7187,-12.4521,19.3,45,8,3.15,MR,1730168688
65,santiago,-33.4569,-70.6483,22.7,58,9,0.89,CL,1730168688
66,mokopane,-24.1944,29.0097,17.77,16,74,1.63,ZA,1730168689
67,ajaccio,42.0,8.9167,16.5,88,0,3.09,FR,1730168689
68,jodhpur,26.2867,73.03,25.8,48,0,3.08,IN,1730168689
69,mount pearl,47.5166,-52.7813,2.63,89,20,5.66,CA,1730168689
70,klyuchi,52.2667,79.1667,0.67,95,100,10.02,RU,1730168689
71,lompoc,34.6391,-120.4579,15.56,85,100,7.2,US,1730168689
72,lihue,21.9789,-159.3672,26.77,81,20,7.2,US,1730168689
